street_id,crash_id
32208,558202
32208,565070
32208,571539
32967,558202
32967,567242
33209,558202
33209,553646
33209,546642
33209,553911
33209,555185
33209,561550
33209,562616
33209,567188
33495,558219
33495,560512
33495,540341
33495,555938
33495,557856
33495,547112
33495,548141
33495,553084
33495,553024
33495,551269
33495,546252
33495,552269
33495,562424
33495,564046
33495,570997
33495,572030
33495,570115
33495,573743
33495,574057
14734,558235
14734,545387
14734,548096
14734,548542
14734,552739
14734,553034
14734,546668
14734,551755
14734,549724
14734,554185
14734,559437
14734,562155
14734,563330
14734,563780
14734,570242
25520,558251
25520,547889
25520,558753
25520,556268
25520,556567
25520,545994
25520,549303
25520,554020
25520,549916
25520,559128
25520,562960
25520,564234
25520,564212
25520,568176
25520,573619
25520,568520
25520,569042
25520,567069
25520,571285
25520,574365
18606,558268
18606,565052
18606,565129
18606,558143
18606,545790
18606,551274
18606,553436
18606,549375
18606,551660
18606,551972
18606,559010
18606,562245
18606,563036
18606,564903
18606,565681
18606,569406
18606,572018
18606,570609
18606,571276
18606,573793
27782,558200
27782,558579
27782,555799
27782,556597
27782,557975
27782,548154
27782,551427
27782,546606
27782,546921
27782,552139
27782,552392
27782,554710
27782,554818
27782,559016
27782,561407
27782,564744
27782,566163
27782,568283
27782,567701
27782,567480
27782,569396
27782,568827
27782,569904
27782,570036
28084,558200
28084,558579
28084,555799
28084,556597
28084,557975
28084,551427
28084,552646
28084,549278
28084,546921
28084,552280
28084,552691
28084,559016
28084,561407
28084,561487
28084,564744
28084,566163
28084,567701
28084,567480
28084,569396
28084,569694
28084,568827
28084,569904
28084,570036
28085,558200
28085,558579
28085,555799
28085,556597
28085,557975
28085,551427
28085,546921
28085,554338
28085,559016
28085,561407
28085,564744
28085,566163
28085,567701
28085,567480
28085,569396
28085,568827
28085,569904
28085,570036
33750,558200
33750,558579
33750,555799
33750,556597
33750,557975
33750,547983
33750,551427
33750,549345
33750,549478
33750,546921
33750,559016
33750,561407
33750,561601
33750,564744
33750,566163
33750,567701
33750,567480
33750,569396
33750,569647
33750,568827
33750,569904
33750,569950
33750,570036
32101,558216
32101,558270
32101,560544
32101,547259
32101,545264
32101,547369
32101,553250
32101,563553
32101,565715
32101,566050
32101,568199
32101,570310
32101,567512
32101,568797
32101,571493
32425,558216
32425,547369
32425,560823
32425,563553
32425,573401
32425,567512
33013,558216
33013,547369
33013,563553
33013,567512
18658,558250
18658,542726
18658,550868
18658,553274
18658,559716
18658,561085
18658,561445
18658,568404
18658,569322
18658,569794
18659,558250
18659,555631
18659,555686
18659,547606
18659,551210
18659,553274
18659,554142
18659,559968
18659,560210
18659,560259
18659,561085
18659,561445
18659,568358
19633,558250
19633,552877
19633,553274
19633,561085
19633,561445
19633,572330
19633,569121
19989,558250
19989,553274
19989,560388
19989,561085
19989,561445
24321,558264
24321,550344
24321,570643
